Subject,Start Date,Start Time,End Date,End Time,All day event,Description
Third Sunday of Advent [1] Violet,2017-12-17,,,,TRUE,"Week of Advent 3
Third Sunday of Advent [1] Violet
17 December

EUCHARIST
Isaiah 61:1-4, 8-11
Psalm 126 or Canticle: Luke 1:47-55
1 Thessalonians 5:16-24
John 1:6-8, 19-28

DAILY PRAYER: Anticipation 
Isaiah 5:8-30
Acts 13:13-41
John 5:31-40

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)"
Monday after Third Sunday of Advent,2017-12-18,,,,TRUE,"Week of Advent 3
Monday after Third Sunday of Advent, Violet
18 December

DAILY EUCHARIST
Jeremiah 23:5-8
Psalm 72:11-19
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Genesis 3:8-15
Revelation 12:1-10
John 3:16-21"
Tuesday after Third Sunday of Advent,2017-12-19,,,,TRUE,"Week of Advent 3
Tuesday after Third Sunday of Advent, Violet
19 December

DAILY EUCHARIST
Judges 13:2-7, 24-25
Psalm 71:1-8
Luke 1:5-25

DAILY PRAYER: Anticipation 
Zephaniah 3:14-20
Titus 1:1-16
Luke 1:1-25"
Wednesday after Third Sunday of Advent (Ember Day),2017-12-20,,,,TRUE,"Week of Advent 3
Wednesday after Third Sunday of Advent, Violet
20 December

DAILY EUCHARIST
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
1 Samuel 2:1b-10
Titus 2:1-10
Luke 1:26-38

---

EMBER DAY (Wednesday after 13 December)
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19"
"Thomas, Apostle [4] Red (if not kept on 3 July)",2017-12-21,,,,TRUE,"Thomas, Apostle [4] Red
(If not kept on 3 July)

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

---

Week of Advent 3
Thursday after Third Sunday of Advent, Violet
21 December

DAILY EUCHARIST
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
2 Samuel 7:1-17
Titus 2:11 - 3:8a
Luke 1:39-48a, (48b-56)"
Friday after Third Sunday of Advent (Ember Day),2017-12-22,,,,TRUE,"Week of Advent 3
Friday after Third Sunday of Advent
22 December

DAILY EUCHARIST (Violet)
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
2 Samuel 7:18-29
Galatians 3:1-14
Luke 1:57-66

---

EMBER DAY (Friday after 13 December)
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21"
Saturday after Third Sunday of Advent (Ember Day),2017-12-23,,,,TRUE,"Week of Advent 3
Saturday after Third Sunday of Advent, Violet
23 December

DAILY EUCHARIST
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Baruch 4:21-29
Galatians 3:15-22
Luke 1:67-80 or Matthew 1:1-17

---

EMBER DAY (Saturday after 13 December)
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27"
Fourth Sunday of Advent [1] Violet / Christmas Eve [2],2017-12-24,,,,TRUE,"Week of Advent 4
Fourth Sunday of Advent [1] Violet
Christmas Eve [2]
24 December

EUCHARIST
2 Samuel 7:1-11, 16
Canticle: Luke 1:47-55 or Psalm 89:1-4, 19-26
Romans 16:25-27
Luke 1:26-38

---

Christmas Eve [2]
24 December

DAILY EUCHARIST
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Morning:
Baruch 4:36 - 5:9
Galatians 3:23 - 4:7
Matthew 1:18-25

EVENING PRAYER: Anticipation 
Isaiah 59:15b-21
Philippians 2:5-11
"
Christmas Day [1] White,2017-12-25,,,,TRUE,"Christmas Day [1] White
25 December

EUCHARIST (CHRISTMAS DAY [1] White)
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Micah 4:1-5; 5:2-4
1 John 4:7-16
John 3:31-36"
"Stephen, Deacon and Martyr [4] Red",2017-12-26,,,,TRUE,"The Remaining Days of Christmas
Stephen, Deacon and Martyr [4] Red
26 December

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

MORNING PRAYER: Incarnation/Festivals
Morning:
2 Chronicles 24:17-22
Acts 6:1-7

EVENING PRAYER: Incarnation/Festivals
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8"
"John, Apostle and Evangelist [4] White",2017-12-27,,,,TRUE,"The Remaining Days of Christmas
John, Apostle and Evangelist [4] White
27 December

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Morning:
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12"
The Holy Innocents [4] White,2017-12-28,,,,TRUE,"The Remaining Days of Christmas
The Holy Innocents [4] White
28 December

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Morning:
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16"
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",2017-12-29,,,,TRUE,"The Remaining Days of Christmas
Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red
29 December

DAILY EUCHARIST
1 John 2:7-11
Psalm 96:1-9
Luke 2:22-35

DAILY PRAYER: Incarnation 
2 Samuel 23:13 -17b
2 John 1-13
John 2:1-11"
"Josephine Butler, 1905 [6] White",2017-12-30,,,,TRUE,"The Remaining Days of Christmas
Josephine Butler, 1905 [6] White
30 December

DAILY EUCHARIST
1 John 2:12-17
Psalm 96:7-10
Luke 2:36-40

DAILY PRAYER: Incarnation 
1 Kings 17:17-24
3 John 1-15
John 4:46-54"
First Sunday after Christmas [2] White,2017-12-31,,,,TRUE,"Week of Christmas 1
First Sunday after Christmas [2] White
Hogmanay, 31 December

EUCHARIST
Isaiah 61:10 - 62:3
Psalm 148
Galatians 4:4-7
Luke 2:22-40

DAILY PRAYER: Incarnation 
Isaiah 35:1-10
Galatians 3:27 - 4:7
Luke 2:15-21

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9"
The Naming of Jesus [2] White,2018-01-01,,,,TRUE,"Week of Christmas 2
The Naming of Jesus [2] White
New Year's Day, 1 January

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Isaiah 62:1-5, 10-12
Revelation 19:11-16
Matthew 1:18-25"
"Seraphim of Sarov, 1833 [6] White",2018-01-02,,,,TRUE,"Week of Christmas 2
Seraphim of Sarov, 1833 [6] White
Tuesday after the First Sunday of Christmas, White
2 January

DAILY EUCHARIST
1 John 1:22-29
Psalm 98:1-5
John 1:19-28

DAILY PRAYER: Incarnation 
1 Kings 19:1-8
Ephesians 4:1-16
John 6:1-14"
"John Wycliffe, Priest, 1384 [6] White (translated from 31 December)",2018-01-03,,,,TRUE,"Week of Christmas 2
John Wycliffe, Priest, 1384 [6] White (translated from 31 December)
Wednesday after the First Sunday of Christmas, White
3 January

DAILY EUCHARIST
1 John 3:1-6
Psalm 98:1-2, 4-7
John 1:29-34

DAILY PRAYER: Incarnation 
1 Kings 19:9-18
Ephesians 4:17-32
John 6:15-27"
Thursday after the First Sunday of Christmas,2018-01-04,,,,TRUE,"Week of Christmas 2
Thursday after the First Sunday of Christmas, White
4 January

DAILY EUCHARIST
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Joshua 3:14 - 4:7
Ephesians 5:1-20
John 9:1-12, 35-38
"
Friday after the First Sunday of Christmas,2018-01-05,,,,TRUE,"Week of Christmas 2
Friday after the First Sunday of Christmas, White
5 January

DAILY EUCHARIST
1 John 3:11-18
Psalm 100
John 1:43-51

MORNING PRAYER: Incarnation 
Morning:
Jonah 2:2-9
Ephesians 6:10-20
John 11:17-27, 38-44

EVENING PRAYER: Incarnation 
Isaiah 66:18-22
Romans 15:7-13"
The Epiphany [1] White,2018-01-06,,,,TRUE,"The Epiphany [1] White
Saturday after the First Sunday of Christmas, White
6 January

EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 49:1-7
Revelation 21:22-27
Matthew 12:14-21"
First Sunday after Epiphany: The Baptism of the Lord [2] White,2018-01-07,,,,TRUE,"Week of Proper 1
First Sunday after Epiphany: The Baptism of the Lord [2] White

EUCHARIST
Genesis 1:1-5
Psalm 29
Acts 19:1-7
Mark 1:4-11

DAILY PRAYER: Festivals 
Isaiah 42:1-9
Ephesians 2:1-10
Luke 3:15-22

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29

---

Note: the days following Epiphany. The readings for the dated days after the Epiphany are used only until the following Saturday evening. The Monday after Baptism of the Lord (first Sunday after Epiphany) begins the week of Proper 1"
Monday after First Sunday after Epiphany,2018-01-08,,,,TRUE,"Week of Proper 1
Monday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 1:1-8
Psalm 116:10-17
Mark 1:14-20

DAILY PRAYER: Week A 
Genesis 1:1 - 2:3
Hebrews 1:1-14
John 1:1-18"
Tuesday after First Sunday after Epiphany,2018-01-09,,,,TRUE,"Week of Proper 1
Tuesday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 1:9-20
Psalm 123
Mark 1:21-28

DAILY PRAYER: Week A 
Genesis 2:4-9, (10-15), 16-25
Hebrews 2:1-10
John 1:19-28"
"William Laud, Bishop, 1645 [6] Red",2018-01-10,,,,TRUE,"Week of Proper 1
William Laud, Bishop, 1645 [6] Red
Wednesday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 3:1-20
Psalm 40:1-10
Mark 1:29-39

DAILY PRAYER: Week A 
Genesis 3:1-24
Hebrews 2:11-18
John 1:(29-34), 35-42"
"David, King of Scots, 1153 [6] Red",2018-01-11,,,,TRUE,"Week of Proper 1
David, King of Scots, 1153 [6] Red
Thursday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 4:1c-11
Psalm 44:7-14, 23-26
Mark 1:40-45

DAILY PRAYER: Week A 
Genesis 4:1-26
Hebrews 3:1-11
John 1:43-51"
Friday after First Sunday after Epiphany,2018-01-12,,,,TRUE,"Week of Proper 1
Friday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 8:4-7, 10-22a
Psalm 89:15-18
Mark 2:1-12

DAILY PRAYER: Week A 
Genesis 6:1-8
Hebrews 3:12-19
John 2:1-12"
"Kentigern (or Mungo), Bishop c.603 [4] White",2018-01-13,,,,TRUE,"Kentigern (or Mungo), Bishop c.603 [4] White

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18

---

Week of Proper 1
Saturday after First Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 9:1-4, 15-19; 10:1ab (not 1c)
Psalm 21:1-7
Mark 2:13-17

DAILY PRAYER: Week A 
Genesis 6:9-22
Hebrews 4:1-13
John 2:13-22"
Second Sunday after Epiphany [3] Green,2018-01-14,,,,TRUE,"Week of Proper 2
Second Sunday after Epiphany [3] Green

EUCHARIST
1 Samuel 3:1-10, (11-20)
Psalm 139:1-6, 13-18
1 Corinthians 6:12-20
John 1:43-51

DAILY PRAYER: Week B 
Isaiah 60:9-22
Galatians 1:11-24
John 1:43-51

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12"
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)",2018-01-15,,,,TRUE,"Week of Proper 2
Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)
Monday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 15:16-23
Psalm 50:7-15, 24
Mark 2:18-22

DAILY PRAYER: Week B 
Genesis 7:1-10, 17-23
Hebrews 4:14 - 5:6
John 2:23 - 3:15"
Tuesday after Second Sunday after Epiphany,2018-01-16,,,,TRUE,"Week of Proper 2
Tuesday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 16:1-13
Psalm 89:19-27
Mark 2:23-28

DAILY PRAYER: Week B 
Genesis 8:6-22
Hebrews 5:7-14
John 3:16-21"
"Antony of Egypt, Abbot, 356 [6] White",2018-01-17,,,,TRUE,"Week of Proper 2
Antony of Egypt, Abbot, 356 [6] White
Wednesday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 17:32-51
Psalm 144:1-10
Mark 3:1-6

DAILY PRAYER: Week B 
Gensis 9:1-29
Hebrews 6:1-12
John 3:22-36"
The Confession of Peter [6] White,2018-01-18,,,,TRUE,"Week of Proper 2
The Confession of Peter [6] White
Thursday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 18:6-9; 19:1-8
Psalm 56
Mark 3:7-12

DAILY PRAYER: Week B 
Genesis 11:1-9
Hebrews 6:13-20
John 4:1-15"
Friday after Second Sunday after Epiphany,2018-01-19,,,,TRUE,"Week of Proper 2
Friday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
1 Samuel 24:2-30
Psalm 57
Mark 3:13-19

DAILY PRAYER: Week B 
Genesis 11:27 - 13:1
Hebrews 7:1-17
John 4:16-26"
Saturday after Second Sunday after Epiphany,2018-01-20,,,,TRUE,"Week of Proper 2
Saturday after Second Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 1:1-4, 11-12, 19-27
Psalm 80:1-7
John 8:51-59

DAILY PRAYER: Week B 
Genesis 13:2-18
Hebrews 7:18-28
John 4:27-42
"
Third Sunday after Epiphany [3] Green,2018-01-21,,,,TRUE,"Week of Proper 3
Third Sunday after Epiphany [3] Green

EUCHARIST
Jonah 3:1-5, 10
Psalm 62:5-12
1 Corinthians 7:29-31
Mark 1:14-20

DAILY PRAYER: Week C 
Jeremiah 3:21 - 4:2
1 Peter 1:3-12
Luke 4:12-21

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113"
"Agnes, Martyr, c.304 [6] Red (translated from 21 January)",2018-01-22,,,,TRUE,"Week of Proper 3
Agnes, Martyr, c.304 [6] Red (translated from 21 January)
Monday after Third Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 5:1-7, 10
Psalm 89:19-28
Mark 3:19b-30

DAILY PRAYER: Week C 
Genesis 14:(1-7), 8-24
Hebrew 8:1-13
John 4:43-54"
Tuesday after Third Sunday after Epiphany,2018-01-23,,,,TRUE,"Week of Proper 3
Tuesday after Third Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 6:12b-19
Psalm 24:7-10
Mark 3:31-35

DAILY PRAYER: Week C 
Genesis 15:1-11, 17-21
Hebrews 9:1-14
John 5:1-18"
"Francis de Sales, Bishop, 1622 [6] White",2018-01-24,,,,TRUE,"Week of Proper 3
Francis de Sales, Bishop, 1622 [6] White
Wednesday after Third Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 7:4-17
Psalm 89:1-4
Mark 4:1-20

DAILY PRAYER: Week C 
Genesis 16:1-14
Hebrews 9:15-28
John 5:19-29"
"The Conversion of Paul, Apostle [4] White",2018-01-25,,,,TRUE,"The Conversion of Paul, Apostle [4] White

EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22

---

Week of Proper 3
Thursday after Third Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 7:18-19, 24-29
Psalm 132:1-5, 11-15
Mark 4:21-25

DAILY PRAYER: Week C 
Genesis 16:15 - 17:14
Hebrews 10:1-10
John 5:30-47"
"Timothy and Titus, Bishops [6] White",2018-01-26,,,,TRUE,"Week of Proper 3
Timothy and Titus, Bishops [6] White
Friday after Third Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 11:1-17
Psalm 51:1-10
Mark 4:26-34

DAILY PRAYER: Week C 
Genesis 17:15-27
Hebrews 10:11-25
John 6:1-15"
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",2018-01-27,,,,TRUE,"Week of Proper 3
John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White
Saturday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 12:1-25
Psalm 51:11-18
Mark 4:35-41

DAILY PRAYER: Week C 
Genesis 18:1-33
Hebrews 10:26-39
John 6:16-27"
Fourth Sunday after Epiphany [3] Green,2018-01-28,,,,TRUE,"Week of Proper 4
Fourth Sunday after Epiphany [3] Green

EUCHARIST
Deuteronomy 18:15-20
Psalm 111
1 Corinthians 8:1-13
Mark 1:21-28

DAILY PRAYER: Week D 
1 Samuel 3:1-20
1 Corinthians 14:12-20
Matthew 13:10-17

ALTERNATIVE PSALMS
Morning: Psalm 34
Evening: Psalm 71:1-6, 15-17"
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White (translated from 28 January)",2018-01-29,,,,TRUE,"Week of Proper 4
Thomas Aquinas, Teacher of the Faith, 1274 [6] White (translated from 28 January)
Monday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 15:13-14, 30; 16:5-14
Psalm 3
Mark 5:1-20

DAILY PRAYER: Week D 
Genesis 19:1-17, (18-23), 24-29
Hebrews 11:1-12
John 6:27-40"
"Charles I, King, 1649 [6] Red",2018-01-30,,,,TRUE,"Week of Proper 4
Charles I, King, 1649 [6] Red
Tuesday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 18:9-14, 24 - 19:3
Psalm 86:1-6
Mark 5:21-43

DAILY PRAYER: Week D 
Genesis 21:1-21
Hebrews 11:13-22
John 6:41-51"
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",2018-01-31,,,,TRUE,"Week of Proper 4
Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red
Wednesday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
2 Samuel 24:2, 9-17
Psalm 32:1-8
Mark 6:1-6

DAILY PRAYER: Week D 
Genesis 22:1-18
Hebrews 11:23-31
John 6:52-59"
"Bride of Kildare, Abbess, c.525 [6] White",2018-02-01,,,,TRUE,"Week of Proper 4
Bride of Kildare, Abbess, c.525 [6] White
Thursday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 2:1-4, 10-12
Psalm 132:10-19
Mark 6:7-13

MORNING PRAYER: Week D 
Genesis 23:1-20
Hebrews 11:32 - 12:2
John 6:60-71

EVENING PRAYER: Festivals
(Evening before The Presentation of the Lord)
1 Samuel 1:20-28a
Romans 8:14-21"
The Presentation of the Lord [2] White,2018-02-02,,,,TRUE,"The Presentation of the Lord [2] White

EUCHARIST
Malachi 3:1-4
Psalm 84 or Psalm 24:7-10
Hebrews 2:14-18
Luke 2:22-40

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 8:31-36

EVENING PRAYER: Festivals
Haggai 2:1-9
1 John 3:1-8

---

Week of Proper 4
Friday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
Sirach 47:2-11
Psalm 18:31-33, 46-50
Mark 6:14-29

DAILY PRAYER: Week D 
Genesis 24:1-27
Hebrews 12:3-11
John 7:1-13"
Saints and Martyrs of Europe [6] Red,2018-02-03,,,,TRUE,"Week of Proper 4
Saints and Martyrs of Europe [6] Red
Saturday after Fourth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 3:3-14
Psalm 119:9-16
Mark 6:30-34

DAILY PRAYER: Week D 
Genesis 24:28-38, 49-67
Hebrews 12:12-29
John 7:14-36"
"Fifth Sunday after Epiphany [3] Green (Ordination of the Rt Revd Kevin Pearson, Bishop of Argyll and the Isles, 2011)",2018-02-04,,,,TRUE,"Week of Proper 5 (if before Lent)
Fifth Sunday after Epiphany [3] Green
Ordination of the Rt Revd Kevin Pearson, Bishop of Argyll and the Isles, 2011

EUCHARIST
Isaiah 40:21-31
Psalm 147:1-11, 20c
1 Corinthians 9:16-23
Mark 1:29-39

DAILY PRAYER: Week A
Numbers 13:1-2, 27-33
Philippians 2:12-28
Luke 5:1-11

ALTERNATIVE PSALMS
Morning: Psalms 1 and 3
Evening: Psalm 4"
Monday after Fifth Sunday after Epiphany,2018-02-05,,,,TRUE,"Week of Proper 5 (if before Lent)
Monday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 8:1-7, 9-13
Psalm 132:6-10
Mark 6:53-56

DAILY PRAYER: Week A 
Genesis 25:19-34
Hebrews 13:1-16
John 7:37-52"
