,Start date,SUBJECT,DESCRIPTION,
Monday,2024-12-09,"The Conception of Mary, Mother of the Lord [5] White (transferred from 8 December)","Monday 9 December 2024

The Conception of Mary, Mother of the Lord [5] White (transferred from 8 December)
Week of Advent 2
Year C/1

Common readings for saints' days
Mary, Mother of the Lord

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

COLLECT (Mary)
Almighty God,
who looked with favour on your servant Mary
and called her to be the mother of your Son:
grant us, we pray, 
the humility which found favour in your sight;
that we, with her, may proclaim the greatness of your name,
and find the mercy shown to those who stand in awe of you;
through Jesus Christ, our Lord, 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 

---

Monday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Isaiah 5:1-13
1 Thessalonians 5:1-11
Luke 21:20-28

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2024-12-10,Tuesday after Second Sunday of Advent,"Tuesday 10 December 2024

Tuesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Isaiah 5:14-25
1 Thessalonians 5:12-28
Luke 21:29-38

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2024-12-11,Wednesday after Second Sunday of Advent,"Wednesday 11 December 2024

Wednesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Isaiah 40:25-31 
Psalm 103:1-10 
Matthew 11:28-30

DAILY PRAYER: Anticipation 
Isaiah 6:1-13
2 Thessalonians 1:1-12
John 7:53 - 8:11

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2024-12-12,Thursday after Second Sunday of Advent,"Thursday 12 December 2024

Thursday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Isaiah 41:13-20 
Psalm 145:1-4, 8-13 
Matthew 11:7-15 

DAILY PRAYER: Anticipation 
Isaiah 7:1-9
2 Thessalonians 2:1-12
Luke 22:1-13

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2024-12-13,Friday after Second Sunday of Advent,"Friday 13 December 2024

Friday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Isaiah 48:17-19 
Psalm 1 
Matthew 11:16-19

DAILY PRAYER: Anticipation 
Isaiah 7:10-25
2 Thessalonians 2:13 - 3:5
Luke 22:14-30

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2024-12-14,"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White","Saturday 14 December 2024

John of the Cross, Priest, Teacher of the Faith, 1591 [6] White
Saturday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/1

DAILY EUCHARIST
Sirach 48:1-11
Psalm 80:1-3, 14-18
Matthew 17:9-13

DAILY PRAYER: Anticipation 
Isaiah 8:1-15
2 Thessalonians 3:6-18
Luke 22:31-38

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2024-12-15,Third Sunday of Advent [1] Violet,"Sunday 15 December 2024

Week of Advent 3
Third Sunday of Advent [1] Violet
Year C/1

EUCHARIST
Zephaniah 3:14-20
Canticle: Isaiah 12:2-6
Philippians 4:4-7
Luke 3:7-18

DAILY PRAYER: Anticipation 
Malachi 3:1-4; 4
Philippians 4:4-7
Luke 1:57-66

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2024-12-16,Monday after Third Sunday of Advent,"Monday 16 December 2024

Monday after Third Sunday of Advent (Violet)
Week of Advent 3
Year C/1

DAILY EUCHARIST
Numbers 24:2-7, 15-17a
Psalm 25:3-8
Matthew 21:23-27

DAILY PRAYER: Anticipation 
Isaiah 8:16 - 9:1
2 Peter 1:1-11
Luke 22:39-53

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2024-12-17,Tuesday after Third Sunday of Advent,"Tuesday 17 December 2024

Tuesday after Third Sunday of Advent (Violet)
17 December
Week of Advent 3
Year C/1

DAILY EUCHARIST
Genesis 49:2, 8-10
Psalm 72:1-8
Matthew 1:1-7, 17

DAILY PRAYER: Anticipation 
Isaiah 9:1-7
2 Peter 1:12-21
Luke 22:54-69

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2024-12-18,Wednesday after Third Sunday of Advent (Ember day),"Wednesday 18 December 2024

Wednesday after Third Sunday of Advent (Violet)
18 December
Ember day
Week of Advent 3
Year C/1

DAILY EUCHARIST
Jeremiah 23:5-8
Psalm 72:11-19
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Isaiah 42:1-12
Ephesians 6:10-20
John 3:16-21

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2024-12-19,Thursday after Third Sunday of Advent,"Thursday 19 December 2024

Thursday after Third Sunday of Advent (Violet)
19 December
Week of Advent 3
Year C/1

DAILY EUCHARIST
Judges 13:2-7, 24-25
Psalm 71:1-8
Luke 1:5-25

DAILY PRAYER: Anticipation 
Isaiah 11:1-9
Revelation 20:1-10
John 5:30-47

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2024-12-20,Friday after Third Sunday of Advent (Ember day),"Friday 20 December 2024

Friday after Third Sunday of Advent (Violet)
20 December
Ember day
Week of Advent 3
Year C/1

DAILY EUCHARIST
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
Isaiah 11:10-16
Revelation 20:11 - 21:8
Luke 1:5-25

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2024-12-21,"Thomas, Apostle [4] Red (if not kept on 3 July) (Ember day)","Saturday 21 December 2024

Thomas, Apostle [4] Red (if not kept on 3 July) 
21 December
Ember day
Week of Advent 3
Year C/1

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

COLLECT (Thomas)
Almighty and everliving God,who strengthened your apostle Thomas
with faith in the resurrection of your Son:
grant to us, who have not seen,
that we also may believe,
and so confess Christ as our Lord and our God;
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.

---

Saturday after Third Sunday of Advent (Violet)
21 December
Ember day
Week of Advent 3
Year C/1

DAILY EUCHARIST
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT (Advent 3)
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2024-12-22,Fourth Sunday of Advent [1] Violet,"Sunday 22 December 2024

Fourth Sunday of Advent [1] Violet
22 December
Week of Advent 4
Year C/1

EUCHARIST
Micah 5:2-5a
Canticle: Luke 1:47-55 or Psalm 80:1-7
Hebrews 10:5-10
Luke 1:39-45, (46-55)

DAILY EUCHARIST
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
Isaiah 29:13-24
Revelation 21:22 - 22:5
Luke 1:39-48a, (48b-56)

COLLECT (Advent 4)
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2024-12-23,Monday after Fourth Sunday of Advent,"Monday 23 December 2024

Monday after Fourth Sunday of Advent (Violet)
23 December
Week of Advent 4
Year C/1

DAILY EUCHARIST
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66

COLLECT (Advent 4)
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2024-12-24,Christmas Eve [2] White,"Tuesday 24 December 2024

Christmas Eve [2] White
24 December
Season of Christmas
Year C/1

DAILY EUCHARIST
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Isaiah 35:1-10
Revelation 22:12-17, 21
Luke 1:67-80

EVENING PRAYER: Anticipation 
Isaiah 59:15b-21
Philippians 2:5-11

COLLECT (Advent 4)
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECT AT MIDNIGHT
O God, 
you have made this most holy night 
grow radiant with the brilliance of the true Light: 
grant that, as we have known the mystery of that Light on earth, 
so we may delight in him in heaven; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2024-12-25,Christmas Day [1] White,"Wednesday 25 December 2024

Christmas Day [1] White
Season of Christmas
Year C/1

EUCHARIST
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Zechariah 2:10-13
1 John 4:7-16
John 3:31-36

COLLECT AT MIDNIGHT
O God, 
you have made this most holy night 
grow radiant with the brilliance of the true Light: 
grant that, as we have known the mystery of that Light on earth, 
so we may delight in him in heaven; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECT IN THE EARLY MORNING
This collect is suitable for use at any or all of the celebrations on Christmas Day and is to be used at Morning Prayer. It may be used for other celebrations during the week after Christmas if optional commemorations [6] are not kept on 29, 30 and 31 December.

O God our Father, 
the light of whose Word has come among us 
in the Holy Child of Bethlehem: 
grant that the radiance of that true light, 
which enlightens our minds by faith, 
may shine brightly through our words and deeds; 
through the same Jesus Christ our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECT DURING THE DAY
Also for use at Evening Prayer and may be used for other celebrations during the week after Christmas if optional commemorations [6] are not kept on 29, 30 and 31 December.

O God, 
who wonderfully created 
and yet more wonderfully restored 
the dignity of our human nature: 
grant that we may share in the divinity of Christ, 
who humbled himself to share in our humanity; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2024-12-26,"Stephen, Deacon and Martyr [4] Red","Thursday 26 December 2024

Stephen, Deacon and Martyr [4] Red
26 December
The Remaining Days of Christmas
Year C/1

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

MORNING PRAYER: Incarnation/Festivals
2 Chronicles 24:17-22
Acts 6:1-7

EVENING PRAYER: Incarnation/Festivals
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8

COLLECT (Stephen)
Grant, O Lord, that we may learn to love our enemies
by the example of your martyr, Saint Stephen,
who prayed to you for his persecutors;
for you live and reign with the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2024-12-27,"John, Apostle and Evangelist [4] White","Friday 27 December 2024

John, Apostle and Evangelist [4] White
27 December
The Remaining Days of Christmas
Year C/1

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12

COLLECT (John)
Merciful Lord, 
shed upon your people 
the bright beams of your light: 
that enlightened by the teaching of Saint John,
your apostle and evangelist, 
we may live in the light of your truth, 
and come at length to the fullness of eternal life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2024-12-28,The Holy Innocents [4] White,"Saturday 28 December 2024

The Holy Innocents [4] White
28 December
The Remaining Days of Christmas
Year C/1

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16

COLLECT (The Holy Innocents)
Almighty God, our heavenly Father, 
whose Holy Innocents were slaughtered at the hand of Herod:
receive into the arms of your mercy, we pray, all innocent victims;
and, by your great might, frustrate the designs of evil tyrants,
and establish your rule of justice, love, and peace;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2024-12-29,First Sunday after Christmas [2] White,"Sunday 29 December 2024

First Sunday after Christmas [2] White
29 December
Week of Christmas 1
Year C/1

EUCHARIST
1 Samuel 2:18-20, 26
Psalm 148
Colossians 3:12-17
Luke 2:41-52

DAILY PRAYER: Incarnation 
Isaiah 49:7-13
Colossians 1:9-20
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2024-12-30,"Josephine Butler, 1906 [6] White","Monday 30 December 2024

Josephine Butler, 1906 [6] White
Monday after Second Sunday after Christmas (White)
30 December
The Remaining Days of Christmas
Year C/1

DAILY EUCHARIST
1 John 2:12-17
Psalm 96:7-10
Luke 2:36-40

DAILY PRAYER: Incarnation 
Isaiah 25:1-9
Revelation 1:9-20
John 7:53 - 8:11

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2024-12-31,"John Wycliffe, Priest, 1384 [6] White","Tuesday 31 December 2024

John Wycliffe, Priest, 1384 [6] White
Tuesday after Second Sunday after Christmas (White)
31 December (Hogmanay)
The Remaining Days of Christmas
Year C/1

DAILY EUCHARIST
1 John 2:18-21
Psalm 96:1-2, 11-13
John 1:1-18

MORNING PRAYER: Incarnation 
Isaiah 26:1-9
2 Corinthians 5:16 - 6:2
John 8:12-19

EVENING PRAYER: Incarnation 
Isaiah 65:15b-25
Revelation 21:1-6

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-01-01,The Naming of Jesus [2] White,"Wednesday 1 January 2025

The Naming of Jesus [2] White
1 January (New Year's Day)
Wednesday after Second Sunday after Christmas (White)
Week of Christmas 1
Year C/1

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30

COLLECT (The Naming of Jesus)
Eternal Father, 
who gave to your incarnate Son the holy name of Jesus
to be the sign of our salvation:
place in every heart, we pray, 
the love of him who is the Lord of every year 
and Saviour of the world;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, in time and for eternity.",
Thursday,2025-01-02,"Seraphim of Sarov, 1833 [6] White","Thursday 2 January 2025

Seraphim of Sarov, 1833 [6] White
2 January
Thursday after Second Sunday after Christmas (White)
Week of Christmas 1
Year C/1

DAILY EUCHARIST
1 John 1:22-29
Psalm 98:1-5
John 1:19-28

DAILY PRAYER: Incarnation 
Genesis 12:1-7
Hebrews 11:1-12
John 6:35-42, 48-51

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-01-03,"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (transferred from 29 December)","Friday 3 January 2025

Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (transferred from 29 December)
3 January
Friday after Second Sunday after Christmas (White)
Week of Christmas 1
Year C/1

DAILY EUCHARIST
1 John 3:1-6
Psalm 98:1-2, 4-7
John 1:29-34

DAILY PRAYER: Incarnation 
Genesis 28:10-22
Hebrews 11:13-22
John 10:7-17

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-01-04,Saturday after the First Sunday after Christmas,"Saturday 4 January 2025

Saturday after the First Sunday after Christmas (White)
4 January
Week of Christmas 1
Year C/1

DAILY EUCHARIST
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Exodus 3:1-12
Hebrews 11:23-31
John 14:6-14

COLLECT (Christmas 1)
O God, 
you make us glad with the yearly remembrance 
of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence 
behold him as he comes to be our Judge; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
